locus	Genus	Species
NZ_CP014171	Clostridium	tyrobutyricum
NZ_LT571450	Staphylococcus	epidermidis
NZ_LT571451	Staphylococcus	epidermidis
NZ_CP006684	Melissococcus	plutonius
NG_047055	Staphylococcus	aureus
NG_047212	Staphylococcus	warneri
NG_047217	Macrococcus	caseolyticus
NG_047232	Serratia	marcescens
NG_047233	Salmonella	enterica
NG_047237	Pseudomonas	aeruginosa
NG_047282	Serratia	marcescens
NG_047286	Klebsiella	pneumoniae
NG_047288	Klebsiella	pneumoniae
NG_047289	Klebsiella	pneumoniae
NG_047291	Klebsiella	pneumoniae
NG_047303	[Enterobacter]	aerogenes
NG_047305	Proteus	mirabilis
NG_047322	Campylobacter	jejuni
NG_047324	Escherichia	coli
NG_047325	Escherichia	coli
NG_047328	Vibrio	fluvialis
NG_047329	Pseudomonas	aeruginosa
NG_047335	Providencia	rettgeri
NG_047336	Pseudomonas	aeruginosa
NG_047339	Vibrio	cholerae
NG_047340	Escherichia	coli
NG_047342	Pseudomonas	aeruginosa
NG_047343	Escherichia	coli
NG_047346	Salmonella	enterica
NG_047360	Pseudomonas	aeruginosa
NG_047368	Corynebacterium	glutamicum
NG_047378	Pediococcus	acidilactici
NG_047394	Enterococcus	faecalis
NG_047405	Campylobacter	jejuni
NG_047407	Campylobacter	coli
NG_047412	Escherichia	coli
NG_047414	Escherichia	coli
NG_047415	Pseudomonas	aeruginosa
NG_047421	Enterococcus	faecalis
NG_047431	Klebsiella	pneumoniae
NG_047435	Salmonella	enterica
NG_047436	Proteus	vulgaris
NG_047438	Proteus	mirabilis
NG_047439	Avibacterium	paragallinarum
NG_047440	Enterobacter	cloacae
NG_047441	Klebsiella	pneumoniae
NG_047445	Escherichia	coli
NG_047464	Escherichia	coli
NG_047467	Actinobacillus	pleuropneumoniae
NG_047468	Escherichia	coli
NG_047471	Escherichia	fergusonii
NG_047475	Staphylococcus	aureus
NG_047476	Klebsiella	pneumoniae
NG_047483	Pseudomonas	aeruginosa
NG_047536	Staphylococcus	haemolyticus
NG_047537	Staphylococcus	epidermidis
NG_047539	Staphylococcus	aureus
NG_047555	Escherichia	coli
NG_047562	Lactobacillus	reuteri
NG_047564	Staphylococcus	aureus
NG_047565	Staphylococcus	aureus
NG_047566	Staphylococcus	aureus
NG_047567	Staphylococcus	aureus
NG_047573	Vibrio	anguillarum
NG_047575	Staphylococcus	aureus
NG_047576	Staphylococcus	aureus
NG_047578	Enterococcus	faecium
NG_047579	Lactococcus	lactis
NG_047580	Staphylococcus	sciuri
NG_047586	Serratia	marcescens
NG_047595	Aeromonas	salmonicida
NG_047596	Salmonella	sp.
NG_047599	Klebsiella	pneumoniae
NG_047603	Pasteurella	multocida
NG_047604	[Enterobacter]	aerogenes
NG_047605	Salmonella	enterica
NG_047607	Morganella	morganii
NG_047612	Klebsiella	pneumoniae
NG_047616	Klebsiella	pneumoniae
NG_047619	Shigella	sonnei
NG_047631	Staphylococcus	sciuri
NG_047632	Staphylococcus	aureus
NG_047646	Pseudomonas	aeruginosa
NG_047652	Klebsiella	pneumoniae
NG_047653	Escherichia	coli
NG_047657	[Enterobacter]	aerogenes
NG_047658	Bordetella	bronchiseptica
NG_047686	Escherichia	coli
NG_047694	Escherichia	coli
NG_047695	Escherichia	coli
NG_047696	Salmonella	enterica
NG_047698	Klebsiella	pneumoniae
NG_047705	Salmonella	enterica
NG_047706	Escherichia	coli
NG_047707	Escherichia	coli
NG_047712	Escherichia	coli
NG_047714	Pasteurella	multocida
NG_047719	Salmonella	enterica
NG_047728	Vibrio	cholerae
NG_047741	Escherichia	coli
NG_047743	Escherichia	coli
NG_047757	Yersinia	ruckeri
NG_047759	Staphylococcus	aureus
NG_047763	Providencia	stuartii
NG_047765	Escherichia	coli
NG_047768	Escherichia	coli
NG_047769	Escherichia	coli
NG_047776	Staphylococcus	sciuri
NG_047779	Micrococcus	luteus
NG_047784	Photobacterium	damselae
NG_047794	Enterococcus	faecalis
NG_047797	Streptococcus	pyogenes
NG_047799	Lactobacillus	fermentum
NG_047803	Lactobacillus	reuteri
NG_047805	Staphylococcus	aureus
NG_047806	Bacillus	subtilis
NG_047807	Staphylococcus	epidermidis
NG_047809	Staphylococcus	aureus
NG_047810	Staphylococcus	chromogenes
NG_047811	Staphylococcus	haemolyticus
NG_047812	Staphylococcus	hominis
NG_047813	Staphylococcus	simulans
NG_047814	Staphylococcus	hyicus
NG_047815	Staphylococcus	aureus
NG_047816	Staphylococcus	saprophyticus
NG_047817	Lactobacillus	reuteri
NG_047824	Bacteroides	fragilis
NG_047825	Bacteroides	fragilis
NG_047839	Lactobacillus	sp.
NG_047840	Lactobacillus	fermentum
NG_047847	Corynebacterium	diphtheriae
NG_047849	Corynebacterium	striatum
NG_047852	Trueperella	pyogenes
NG_047857	Staphylococcus	lentus
NG_047858	Staphylococcus	simulans
NG_047859	Staphylococcus	warneri
NG_047862	Escherichia	coli
NG_047865	Klebsiella	pneumoniae
NG_047866	Escherichia	coli
NG_047869	Vibrio	cholerae
NG_047870	Pasteurella	multocida
NG_047871	Bibersteinia	trehalosi
NG_047874	Aeromonas	bestiarum
NG_047876	Pasteurella	multocida
NG_047877	Edwardsiella	ictaluri
NG_047878	Escherichia	coli
NG_047891	Escherichia	coli
NG_047892	Staphylococcus	rostri
NG_047900	Staphylococcus	aureus
NG_047901	Staphylococcus	haemolyticus
NG_047914	Staphylococcus	aureus
NG_047915	Staphylococcus	chromogenes
NG_047916	Staphylococcus	chromogenes
NG_047917	Staphylococcus	simulans
NG_047918	Staphylococcus	haemolyticus
NG_047919	Staphylococcus	epidermidis
NG_047923	Enterococcus	faecalis
NG_047929	Clostridium	perfringens
NG_047933	Staphylococcus	sciuri
NG_047935	Enterococcus	faecalis
NG_047977	Exiguobacterium	sp.
NG_047978	Escherichia	coli
NG_047979	Photobacterium	damselae
NG_047998	Photobacterium	damselae
NG_048001	Staphylococcus	aureus
NG_048007	Citrobacter	freundii
NG_048008	Staphylococcus	aureus
NG_048011	Bacteroides	vulgatus
NG_048018	Escherichia	coli
NG_048023	Enterococcus	faecalis
NG_048024	Escherichia	coli
NG_048025	Escherichia	coli
NG_048037	Staphylococcus	aureus
NG_048041	[Enterobacter]	aerogenes
NG_048046	Staphylococcus	aureus
NG_048048	Vibrio	cholerae
NG_048052	[Enterobacter]	aerogenes
NG_048054	Proteus	mirabilis
NG_048069	Escherichia	coli
NG_048073	Campylobacter	jejuni
NG_048074	Staphylococcus	aureus
NG_048078	Lactococcus	lactis
NG_048081	Escherichia	coli
NG_048082	Pseudomonas	aeruginosa
NG_048086	Aeromonas	salmonicida
NG_048088	Morganella	morganii
NG_048090	Salmonella	enterica
NG_048093	Klebsiella	oxytoca
NG_048095	Salmonella	enterica
NG_048096	Klebsiella	pneumoniae
NG_048097	Salmonella	enterica
NG_048099	Klebsiella	pneumoniae
NG_048100	Klebsiella	pneumoniae
NG_048101	Enterobacter	cloacae
NG_048106	Pasteurella	multocida
NG_048108	Aliivibrio	salmonicida
NG_048109	Mannheimia	varigena
NG_048110	Shigella	sonnei
NG_048111	Salmonella	enterica
NG_048112	Pasteurella	multocida
NG_048114	Pasteurella	multocida
NG_048115	Actinobacillus	porcitonsillarum
NG_048116	Actinobacillus	pleuropneumoniae
NG_048117	Bibersteinia	trehalosi
NG_048118	Salmonella	enterica
NG_048119	[Haemophilus]	parasuis
NG_048120	Escherichia	coli
NG_048123	Aeromonas	salmonicida
NG_048127	Corynebacterium	glutamicum
NG_048128	Corynebacterium	sp.
NG_048137	Acinetobacter	sp.
NG_048148	Pseudomonas	aeruginosa
NG_048151	Escherichia	coli
NG_048152	Escherichia	coli
NG_048153	Shigella	sonnei
NG_048154	Salmonella	enterica
NG_048157	Klebsiella	pneumoniae
NG_048159	Klebsiella	pneumoniae
NG_048161	Shigella	flexneri
NG_048170	[Haemophilus]	parasuis
NG_048171	Actinobacillus	pleuropneumoniae
NG_048173	Pasteurella	multocida
NG_048174	Francisella	tularensis
NG_048175	Salmonella	enterica
NG_048176	Aeromonas	salmonicida
NG_048177	Aeromonas	salmonicida
NG_048179	Escherichia	coli
NG_048187	Aliivibrio	salmonicida
NG_048188	Aeromonas	salmonicida
NG_048191	Vibrio	anguillarum
NG_048194	Pasteurella	multocida
NG_048195	Mannheimia	haemolytica
NG_048197	Psychrobacter	maritimus
NG_048200	Staphylococcus	aureus
NG_048203	Streptococcus	agalactiae
NG_048205	Staphylococcus	hyicus
NG_048207	Streptococcus	agalactiae
NG_048208	Lactobacillus	sakei
NG_048209	Paenibacillus	larvae
NG_048210	Bacillus	sp.
NG_048225	Lactobacillus	plantarum
NG_048233	Enterococcus	faecium
NG_048256	Campylobacter	jejuni
NG_048259	Campylobacter	coli
NG_048260	Campylobacter	jejuni
NG_048263	Campylobacter	jejuni
NG_048264	Actinobacillus	pleuropneumoniae
NG_048272	Bifidobacterium	longum
NG_048274	Lactococcus	lactis
NG_048277	Lactococcus	garvieae
NG_048311	Corynebacterium	glutamicum
NG_048317	Corynebacterium	striatum
NG_048331	Enterococcus	faecalis
NG_048341	Enterococcus	faecalis
NG_048372	Enterococcus	faecalis
NG_048376	Enterococcus	faecalis
NG_048378	Enterococcus	faecalis
NG_048403	Enterococcus	faecalis
NG_048429	Enterococcus	faecalis
NG_048449	Enterococcus	faecalis
NG_048476	Enterococcus	faecium
NG_048477	Enterococcus	faecalis
NG_048482	Enterococcus	faecalis
NG_048486	Enterococcus	faecalis
NG_048519	Enterococcus	faecalis
NG_048534	Enterococcus	faecalis
NG_048539	Staphylococcus	cohnii
NG_048543	Enterococcus	faecium
NG_048555	Staphylococcus	aureus
NG_048556	Staphylococcus	aureus
NG_048557	Staphylococcus	epidermidis
NG_048558	Staphylococcus	aureus
NG_048559	Staphylococcus	aureus
NG_048564	Staphylococcus	cohnii
NG_048578	Salmonella	enterica
NG_048588	Klebsiella	pneumoniae
NG_048628	Escherichia	coli
NG_048629	Klebsiella	pneumoniae
NG_048630	Klebsiella	pneumoniae
NG_048632	Pantoea	agglomerans
NG_048707	Serratia	marcescens
NG_048710	Klebsiella	pneumoniae
NG_048716	Proteus	mirabilis
NG_048718	Psychrobacter	maritimus
NG_048742	Pseudomonas	aeruginosa
NG_048751	Vibrio	cholerae
NG_048757	Escherichia	coli
NG_048766	Enterobacter	cloacae
NG_048768	Klebsiella	pneumoniae
NG_048777	Escherichia	coli
NG_048799	Escherichia	coli
NG_048807	Escherichia	coli
NG_048811	Escherichia	coli
NG_048819	Escherichia	coli
NG_048831	Klebsiella	pneumoniae
NG_048838	Escherichia	coli
NG_048845	Klebsiella	oxytoca
NG_048848	Escherichia	coli
NG_048849	Escherichia	coli
NG_048850	Escherichia	coli
NG_048851	Klebsiella	pneumoniae
NG_048853	Escherichia	coli
NG_048854	Escherichia	coli
NG_048856	Escherichia	coli
NG_048857	Escherichia	coli
NG_048858	Escherichia	coli
NG_048861	Citrobacter	sp.
NG_048865	Escherichia	coli
NG_048877	Klebsiella	pneumoniae
NG_048887	Klebsiella	pneumoniae
NG_048888	Escherichia	coli
NG_048897	Escherichia	coli
NG_048898	Klebsiella	pneumoniae
NG_048899	Escherichia	coli
NG_048904	Escherichia	coli
NG_048910	Acinetobacter	baumannii
NG_048911	Proteus	mirabilis
NG_048912	Escherichia	coli
NG_048914	Escherichia	coli
NG_048915	Escherichia	coli
NG_048916	Escherichia	coli
NG_048918	Enterobacter	cloacae
NG_048920	Escherichia	coli
NG_048921	Klebsiella	pneumoniae
NG_048922	Escherichia	coli
NG_048926	Proteus	mirabilis
NG_048929	Escherichia	coli
NG_048932	Escherichia	coli
NG_048934	Escherichia	coli
NG_048955	Klebsiella	pneumoniae
NG_048956	Escherichia	coli
NG_048968	Salmonella	enterica
NG_048980	Citrobacter	freundii
NG_048982	Escherichia	coli
NG_048983	Escherichia	coli
NG_048986	Escherichia	coli
NG_048987	Enterobacter	cloacae
NG_048988	Klebsiella	pneumoniae
NG_048990	Salmonella	enterica
NG_048993	Escherichia	coli
NG_048996	Klebsiella	pneumoniae
NG_048997	Escherichia	coli
NG_048998	Klebsiella	pneumoniae
NG_048999	Klebsiella	pneumoniae
NG_049001	Klebsiella	pneumoniae
NG_049002	Escherichia	coli
NG_049003	Klebsiella	pneumoniae
NG_049004	Salmonella	enterica
NG_049010	Salmonella	enterica
NG_049013	Klebsiella	pneumoniae
NG_049017	Proteus	mirabilis
NG_049018	Escherichia	coli
NG_049021	Salmonella	enterica
NG_049023	Klebsiella	pneumoniae
NG_049024	Klebsiella	pneumoniae
NG_049032	Citrobacter	amalonaticus
NG_049040	Escherichia	coli
NG_049043	Escherichia	coli
NG_049047	Escherichia	coli
NG_049057	Proteus	mirabilis
NG_049070	Klebsiella	oxytoca
NG_049071	Klebsiella	pneumoniae
NG_049074	Escherichia	coli
NG_049075	Enterobacter	cloacae
NG_049099	Klebsiella	pneumoniae
NG_049101	Providencia	rettgeri
NG_049102	Escherichia	coli
NG_049104	Escherichia	coli
NG_049105	Klebsiella	pneumoniae
NG_049107	Escherichia	coli
NG_049108	Klebsiella	pneumoniae
NG_049109	Enterobacter	cloacae
NG_049117	Pseudomonas	aeruginosa
NG_049118	Serratia	marcescens
NG_049119	Escherichia	coli
NG_049121	Escherichia	coli
NG_049123	Escherichia	coli
NG_049137	Escherichia	coli
NG_049138	Klebsiella	pneumoniae
NG_049139	Enterobacter	cloacae
NG_049168	Raoultella	ornithinolytica
NG_049173	Pseudomonas	aeruginosa
NG_049174	Acinetobacter	baumannii
NG_049182	Aeromonas	caviae
NG_049189	Pseudomonas	aeruginosa
NG_049202	Klebsiella	pneumoniae
NG_049217	Acinetobacter	baumannii
NG_049218	Pseudomonas	aeruginosa
NG_049222	Klebsiella	pneumoniae
NG_049223	Pseudomonas	aeruginosa
NG_049240	Citrobacter	freundii
NG_049242	Enterobacter	cloacae
NG_049244	Klebsiella	pneumoniae
NG_049246	Enterobacter	cloacae
NG_049247	Klebsiella	pneumoniae
NG_049248	Klebsiella	pneumoniae
NG_049256	Klebsiella	pneumoniae
NG_049263	Enterobacter	cloacae
NG_049267	Pseudomonas	aeruginosa
NG_049282	Klebsiella	pneumoniae
NG_049293	Klebsiella	pneumoniae
NG_049305	Escherichia	coli
NG_049306	Klebsiella	pneumoniae
NG_049311	Klebsiella	pneumoniae
NG_049315	Klebsiella	pneumoniae
NG_049326	Klebsiella	pneumoniae
NG_049329	Escherichia	coli
NG_049330	Escherichia	coli
NG_049331	Acinetobacter	lwoffii
NG_049335	Escherichia	coli
NG_049338	Escherichia	coli
NG_049339	Escherichia	coli
NG_049340	Escherichia	coli
NG_049341	Klebsiella	pneumoniae
NG_049343	Pseudomonas	aeruginosa
NG_049373	Klebsiella	pneumoniae
NG_049393	Pseudomonas	aeruginosa
NG_049428	Salmonella	enterica
NG_049464	Acinetobacter	baumannii
NG_049465	Acinetobacter	baumannii
NG_049466	Acinetobacter	baumannii
NG_049467	Acinetobacter	baumannii
NG_049468	Acinetobacter	baumannii
NG_049469	Klebsiella	pneumoniae
NG_049470	Acinetobacter	baumannii
NG_049471	Acinetobacter	baumannii
NG_049482	Klebsiella	pneumoniae
NG_049496	Salmonella	enterica
NG_049502	Klebsiella	pneumoniae
NG_049507	Riemerella	anatipestifer
NG_049539	Klebsiella	pneumoniae
NG_049540	Klebsiella	pneumoniae
NG_049542	Klebsiella	pneumoniae
NG_049551	Enterobacter	cloacae
NG_049577	Pseudomonas	aeruginosa
NG_049605	Pseudomonas	aeruginosa
NG_049735	Pseudomonas	aeruginosa
NG_049776	Pseudomonas	aeruginosa
NG_049814	Klebsiella	pneumoniae
NG_049827	Acinetobacter	baumannii
NG_049977	Haemophilus	influenzae
NG_049982	Enterobacter	cloacae
NG_049994	Klebsiella	pneumoniae
NG_050004	Escherichia	coli
NG_050006	Enterobacter	cloacae
NG_050007	Escherichia	coli
NG_050059	Klebsiella	pneumoniae
NG_050069	Enterobacter	cloacae
NG_050073	Escherichia	coli
NG_050074	Klebsiella	pneumoniae
NG_050075	Klebsiella	pneumoniae
NG_050081	Klebsiella	pneumoniae
NG_050093	Escherichia	coli
NG_050094	Klebsiella	pneumoniae
NG_050105	Enterobacter	cloacae
NG_050120	Klebsiella	pneumoniae
NG_050121	Klebsiella	pneumoniae
NG_050122	Klebsiella	pneumoniae
NG_050123	Klebsiella	pneumoniae
NG_050147	Escherichia	coli
NG_050162	Staphylococcus	aureus
NG_050171	Escherichia	coli
NG_050172	Escherichia	coli
NG_050176	Klebsiella	pneumoniae
NG_050179	Salmonella	enterica
NG_050182	Salmonella	enterica
NG_050183	Klebsiella	pneumoniae
NG_050184	Enterobacter	cloacae
NG_050185	Escherichia	coli
NG_050190	Pseudomonas	aeruginosa
NG_050193	Haemophilus	parainfluenzae
NG_050201	Enterobacter	cloacae
NG_050206	Acinetobacter	haemolyticus
NG_050208	Klebsiella	pneumoniae
NG_050214	Escherichia	coli
NG_050221	Escherichia	coli
NG_050223	Escherichia	coli
NG_050224	Proteus	mirabilis
NG_050236	Escherichia	coli
NG_050238	Escherichia	coli
NG_050243	Escherichia	coli
NG_050258	Pseudomonas	aeruginosa
NG_050259	Klebsiella	pneumoniae
NG_050260	Escherichia	coli
NG_050262	Escherichia	coli
NG_050263	Haemophilus	parainfluenzae
NG_050265	Klebsiella	pneumoniae
NG_050276	Escherichia	coli
NG_050278	Providencia	stuartii
NG_050280	Proteus	mirabilis
NG_050283	Klebsiella	pneumoniae
NG_050284	Morganella	morganii
NG_050295	Klebsiella	pneumoniae
NG_050296	Klebsiella	pneumoniae
NG_050297	Proteus	mirabilis
NG_050298	Klebsiella	pneumoniae
NG_050299	Escherichia	coli
NG_050302	Escherichia	coli
NG_050303	Escherichia	coli
NG_050305	Escherichia	coli
NG_050311	Escherichia	coli
NG_050312	Serratia	marcescens
NG_050351	Proteus	mirabilis
NG_050355	Escherichia	coli
NG_050402	Salmonella	enterica
NG_050403	Enterobacter	cloacae
NG_050404	Providencia	stuartii
NG_050407	Escherichia	coli
NG_050409	Klebsiella	pneumoniae
NG_050410	Staphylococcus	epidermidis
NG_050416	Staphylococcus	haemolyticus
NG_050417	Escherichia	coli
NG_050459	Escherichia	coli
NG_050460	Escherichia	coli
NG_050461	[Enterobacter]	aerogenes
NG_050462	Klebsiella	pneumoniae
NG_050463	Klebsiella	oxytoca
NG_050467	Proteus	mirabilis
NG_050468	Shewanella	algae
NG_050469	Klebsiella	pneumoniae
NG_050470	Citrobacter	freundii
NG_050471	Citrobacter	freundii
NG_050480	Citrobacter	koseri
NG_050482	Escherichia	coli
NG_050483	Citrobacter	werkmanii
NG_050484	Citrobacter	freundii
NG_050485	Citrobacter	freundii
NG_050486	Citrobacter	freundii
NG_050488	Citrobacter	braakii
NG_050489	Citrobacter	freundii
NG_050492	Citrobacter	braakii
NG_050493	Klebsiella	pneumoniae
NG_050503	Citrobacter	braakii
NG_050515	Proteus	mirabilis
NG_050516	Klebsiella	pneumoniae
NG_050518	Raoultella	terrigena
NG_050523	Pantoea	agglomerans
NG_050540	Citrobacter	freundii
NG_050541	Salmonella	enterica
NG_050542	Salmonella	enterica
NG_050543	Shigella	flexneri
NG_050544	Salmonella	enterica
NG_050546	Aeromonas	sobria
NG_050547	Aeromonas	hydrophila
NG_050548	Escherichia	coli
NG_050549	Klebsiella	pneumoniae
NG_050555	Vibrio	parahaemolyticus
NG_050559	Escherichia	coli
NG_050590	Enterobacter	cloacae
NZ_CP015297	Chlamydia	trachomatis
NZ_CP015303	Chlamydia	trachomatis
NZ_CP015307	Chlamydia	trachomatis
NZ_CP015299	Chlamydia	trachomatis
NZ_CP015301	Chlamydia	trachomatis
NZ_CP015777	Bacillus	anthracis
NZ_CP015778	Bacillus	anthracis
NZ_CP015295	Chlamydia	trachomatis
NZ_CP015305	Chlamydia	trachomatis
NZ_CP015879	Pseudomonas	citronellolis
NC_007414	Escherichia	coli
NC_017319	Shigella	flexneri
NC_017320	Shigella	flexneri
NC_017329	Shigella	flexneri
NC_017321	Shigella	flexneri
NC_017330	Shigella	flexneri
NZ_CP007038	Shigella	flexneri
NZ_CP012732	Shigella	flexneri
NZ_CP012733	Shigella	flexneri
NZ_CP012734	Shigella	flexneri
NZ_CP012736	Shigella	flexneri
NZ_CP012141	Shigella	flexneri
NZ_CP012142	Shigella	flexneri
NZ_CP012143	Shigella	flexneri
NZ_CP012138	Shigella	flexneri
NZ_CP012139	Shigella	flexneri
NZ_CP014493	Escherichia	coli
NZ_CP014494	Escherichia	coli
NZ_CP014198	Escherichia	coli
NZ_CP014199	Escherichia	coli
NZ_CP014200	Escherichia	coli
NZ_CP014350	Borrelia	hermsii
NZ_CP014351	Borrelia	hermsii
NZ_CP014792	Borrelia	hermsii
NZ_CP014871	Borrelia	hermsii
NZ_CP015331	Borrelia	hermsii
NZ_CP015332	Borrelia	hermsii
NZ_CP015333	Borrelia	hermsii
NZ_CP015334	Borrelia	hermsii
NZ_CP015335	Borrelia	hermsii
NZ_CP015336	Borrelia	hermsii
NZ_CP015337	Borrelia	hermsii
NZ_CP015919	Pediococcus	pentosaceus
NZ_CP015920	Pediococcus	pentosaceus
NZ_CP015921	Pediococcus	pentosaceus
NZ_CP015967	Lactobacillus	plantarum
NZ_CP015968	Lactobacillus	plantarum
NZ_CP015969	Lactobacillus	plantarum
NZ_CP015858	Lactobacillus	plantarum
NZ_CP015859	Lactobacillus	plantarum
NZ_CP015860	Lactobacillus	plantarum
NZ_CP015861	Lactobacillus	plantarum
NZ_CP015862	Lactobacillus	plantarum
NZ_CP015484	Acinetobacter	baumannii
NZ_CP015485	Acinetobacter	baumannii
NZ_CP015486	Acinetobacter	baumannii
NZ_CP013300	Staphylococcus	sp.
NZ_LT594096	Acinetobacter	baumannii
NZ_CP013602	Rhizobium	sp.
NZ_CP013603	Rhizobium	sp.
NZ_CP013604	Rhizobium	sp.
NZ_CP013605	Rhizobium	sp.
NZ_CP013606	Rhizobium	sp.
NZ_CP016024	Ralstonia	insidiosa
NZ_CP016025	Ralstonia	insidiosa
NZ_CP013496	Rhizobium	sp.
NZ_CP013497	Rhizobium	sp.
NZ_CP013498	Rhizobium	sp.
NZ_CP013499	Rhizobium	sp.
NZ_CP013491	Rhizobium	sp.
NZ_CP013492	Rhizobium	sp.
NZ_CP013493	Rhizobium	sp.
NZ_CP013494	Rhizobium	sp.
NZ_CP013512	Rhizobium	sp.
NZ_CP013513	Rhizobium	sp.
NZ_CP013514	Rhizobium	sp.
NZ_CP013515	Rhizobium	sp.
NZ_CP013516	Rhizobium	sp.
NZ_CP013506	Rhizobium	sp.
NZ_CP013507	Rhizobium	sp.
NZ_CP013508	Rhizobium	sp.
NZ_CP013509	Rhizobium	sp.
NZ_CP013510	Rhizobium	sp.
NZ_CP013518	Rhizobium	sp.
NZ_CP013519	Rhizobium	sp.
NZ_CP013520	Rhizobium	sp.
NZ_CP013521	Rhizobium	sp.
NZ_CP015881	Ensifer	adhaerens
NZ_CP015882	Ensifer	adhaerens
NZ_CP013581	Rhizobium	phaseoli
NZ_CP013582	Rhizobium	phaseoli
NZ_CP013583	Rhizobium	phaseoli
NZ_CP013584	Rhizobium	phaseoli
NZ_CP015851	Ralstonia	solanacearum
NZ_CP013564	Rhizobium	phaseoli
NZ_CP013565	Rhizobium	phaseoli
NZ_CP013566	Rhizobium	phaseoli
NZ_CP013567	Rhizobium	phaseoli
NZ_CP013501	Rhizobium	etli
NZ_CP013502	Rhizobium	etli
NZ_CP013503	Rhizobium	etli
NZ_CP013504	Rhizobium	etli
NZ_CP013543	Rhizobium	phaseoli
NZ_CP013544	Rhizobium	phaseoli
NZ_CP013545	Rhizobium	phaseoli
NZ_CP013546	Rhizobium	phaseoli
NZ_CP013538	Rhizobium	phaseoli
NZ_CP013539	Rhizobium	phaseoli
NZ_CP013540	Rhizobium	phaseoli
NZ_CP013541	Rhizobium	phaseoli
NZ_CP013533	Rhizobium	phaseoli
NZ_CP013534	Rhizobium	phaseoli
NZ_CP013535	Rhizobium	phaseoli
NZ_CP013536	Rhizobium	phaseoli
NZ_CP013528	Rhizobium	phaseoli
NZ_CP013529	Rhizobium	phaseoli
NZ_CP013530	Rhizobium	phaseoli
NZ_CP013531	Rhizobium	phaseoli
NZ_CP013558	Rhizobium	phaseoli
NZ_CP013559	Rhizobium	phaseoli
NZ_CP013560	Rhizobium	phaseoli
NZ_CP013561	Rhizobium	phaseoli
NZ_CP013562	Rhizobium	phaseoli
NZ_CP013575	Rhizobium	phaseoli
NZ_CP013576	Rhizobium	phaseoli
NZ_CP013577	Rhizobium	phaseoli
NZ_CP013578	Rhizobium	phaseoli
NZ_CP013579	Rhizobium	phaseoli
NZ_CP013548	Rhizobium	phaseoli
NZ_CP013549	Rhizobium	phaseoli
NZ_CP013550	Rhizobium	phaseoli
NZ_CP013551	Rhizobium	phaseoli
NZ_CP013586	Rhizobium	phaseoli
NZ_CP013587	Rhizobium	phaseoli
NZ_CP013588	Rhizobium	phaseoli
NZ_CP013589	Rhizobium	phaseoli
NZ_CP013631	Rhizobium	sp.
NZ_CP013632	Rhizobium	sp.
NZ_CP013633	Rhizobium	sp.
NZ_CP013523	Rhizobium	phaseoli
NZ_CP013634	Rhizobium	sp.
NZ_CP013524	Rhizobium	phaseoli
NZ_CP013525	Rhizobium	phaseoli
NZ_CP013635	Rhizobium	sp.
NZ_CP013526	Rhizobium	phaseoli
NZ_CP013553	Rhizobium	phaseoli
NZ_CP013554	Rhizobium	phaseoli
NZ_CP013555	Rhizobium	phaseoli
NZ_CP013556	Rhizobium	phaseoli
NZ_CP013591	Rhizobium	sp.
NZ_CP013592	Rhizobium	sp.
NZ_CP013593	Rhizobium	sp.
NZ_CP013594	Rhizobium	sp.
NZ_CP013569	Rhizobium	phaseoli
NZ_CP013570	Rhizobium	phaseoli
NZ_CP013571	Rhizobium	phaseoli
NZ_CP013572	Rhizobium	phaseoli
NZ_CP013573	Rhizobium	phaseoli
NZ_CP013596	Rhizobium	sp.
NZ_CP013597	Rhizobium	sp.
NZ_CP013598	Rhizobium	sp.
NZ_CP013599	Rhizobium	sp.
NZ_CP013600	Rhizobium	sp.
NZ_CP015867	Streptomyces	parvulus
NZ_CP012741	Vibrio	vulnificus
NZ_CP013644	Rhizobium	sp.
NZ_CP013645	Rhizobium	sp.
NZ_CP013646	Rhizobium	sp.
NZ_CP013647	Rhizobium	sp.
NZ_CP013648	Rhizobium	sp.
NZ_CP013649	Rhizobium	sp.
NZ_CP013637	Rhizobium	sp.
NZ_CP013638	Rhizobium	sp.
NZ_CP013639	Rhizobium	sp.
NZ_CP013640	Rhizobium	sp.
NZ_CP013641	Rhizobium	sp.
NZ_CP013642	Rhizobium	sp.
NZ_CP016080	Mesorhizobium	loti
NZ_CP016179	Vibrio	breoganii
NZ_CP012874	Weissella	cibaria
NZ_CP012875	Weissella	cibaria
NZ_CP012876	Weissella	cibaria
NZ_CP012877	Weissella	cibaria
NZ_CP012878	Weissella	cibaria
NZ_CP012880	Weissella	cibaria
NZ_CP012891	Lactobacillus	gallinarum
NZ_CP012892	Lactobacillus	gallinarum
NZ_CP012893	Lactobacillus	gallinarum
NZ_CP012895	Lactobacillus	gallinarum
NZ_CP012896	Lactobacillus	gallinarum
NZ_CP011518	Pandoraea	oxalativorans
NZ_CP011519	Pandoraea	oxalativorans
NZ_CP011520	Pandoraea	oxalativorans
NZ_CP011521	Pandoraea	oxalativorans
NZ_CP016287	Rhizobium	leguminosarum
NZ_CP016288	Rhizobium	leguminosarum
NZ_CP016289	Rhizobium	leguminosarum
NZ_CP016290	Rhizobium	leguminosarum
NZ_CP016291	Rhizobium	leguminosarum
NZ_CP016292	Rhizobium	leguminosarum
NZ_CP016293	Rhizobium	leguminosarum
