locus	Genus	Species
NC_013783	Lactococcus	lactis
NC_013789	Lactobacillus	plantarum
NC_013950	Klebsiella	pneumoniae
NC_013969	Staphylococcus	aureus
NC_014016	Klebsiella	pneumoniae
NC_014105	Neisseria	gonorrhoeae
NC_014111	Xylella	fastidiosa
NC_014113	Xylella	fastidiosa
NC_014124	Pseudomonas	putida
NC_014156	Staphylococcus	aureus
NC_014208	Klebsiella	oxytoca
NC_014234	Escherichia	coli
NC_014312	Klebsiella	pneumoniae
NC_014356	Escherichia	coli
NC_014367	Pediococcus	pentosaceus
NC_014368	Klebsiella	pneumoniae
NC_014382	Escherichia	coli
NC_014383	Escherichia	coli
NC_014385	Escherichia	coli
NC_014475	Enterococcus	faecalis
NC_014477	Escherichia	coli
NC_014478	Klebsiella	pneumoniae
NC_014496	Listeria	grayi
NC_014615	Escherichia	coli
NC_014627	Lactobacillus	plantarum
NC_014235	Escherichia	coli
NC_014726	Enterococcus	faecalis
NC_014813	Haemophilus	influenzae
NC_014843	Escherichia	coli
NC_015055	Yersinia	pestis
NC_015154	Klebsiella	pneumoniae
NC_015171	Staphylococcus	hyicus
NC_015175	Enterobacter	cloacae
NC_015256	Tetragenococcus	muriaticus
NC_015432	Staphylococcus	saprophyticus
NC_015472	Escherichia	coli
NC_015599	Escherichia	coli
NC_004843	Buchnera	aphidicola
NC_005246	Erwinia	amylovora
NC_007682	Escherichia	coli
NC_008259	Enterococcus	faecium
NC_010064	Escherichia	coli
NC_010261	Klebsiella	pneumoniae
NC_010282	Bacillus	thuringiensis
NC_010377	Yersinia	enterocolitica
NC_010859	Streptococcus	thermophilus
NC_014508	Enterococcus	faecalis
NC_015056	Yersinia	pestis
NC_006903	Onion	yellows
NC_007594	Enterococcus	faecium
NC_007773	Clostridium	perfringens
NC_002776	Streptococcus	thermophilus
NC_003969	Staphylococcus	epidermidis
NC_011227	Escherichia	coli
NC_012220	Lactobacillus	plantarum
NC_001763	Staphylococcus	aureus
NC_004334	Bacillus	thuringiensis
NC_004653	Lactococcus	lactis
NC_011409	Haemophilus	influenzae
NC_007206	Haemophilus	influenzae
NC_008486	Escherichia	coli
NC_012555	Enterobacter	cloacae
NC_014233	Escherichia	coli
NC_015068	Yersinia	pestis
NC_015849	Enterococcus	faecium
NC_015860	Lactococcus	lactis
NC_015861	Lactococcus	lactis
NC_015863	Lactococcus	lactis
NC_015864	Lactococcus	lactis
NC_015862	Lactococcus	lactis
NC_015872	Escherichia	coli
NC_015900	Lactococcus	lactis
NC_015901	Lactococcus	lactis
NC_015902	Lactococcus	lactis
NC_015912	Lactococcus	lactis
NC_001446	Bacillus	thuringiensis
NC_009137	Lactococcus	lactis
NC_011266	Escherichia	coli
NC_011382	Klebsiella	pneumoniae
NC_011522	Staphylococcus	aureus
NC_010098	Lactobacillus	plantarum
NC_004971	Borrelia	burgdorferi
NC_004163	Lactococcus	lactis
NC_005247	Erwinia	amylovora
NC_006979	Streptococcus	pyogenes
NC_013121	Escherichia	coli
NC_014369	Staphylococcus	aureus
NC_014959	Enterococcus	faecium
NC_015054	Yersinia	pestis
NC_002123	Lactobacillus	plantarum
NC_010907	Streptococcus	dysgalactiae
NC_011073	Bacteroides	fragilis
NC_004771	Pasteurella	multocida
NC_011795	Escherichia	coli
NC_015950	Riemerella	anatipestifer
NC_015972	Serratia	marcescens
NC_016009	Enterococcus	faecium
NC_016039	Escherichia	coli
NC_016053	Xanthomonas	arboricola
NC_016600	Pseudonocardia	dioxanivorans
NC_016643	Staphylococcus	saprophyticus
NC_016849	Aeromonas	hydrophila
NC_016852	Aeromonas	hydrophila
NC_016151	Citrobacter	freundii
NC_016966	Klebsiella	pneumoniae
NC_016973	Pasteurella	multocida
NC_016974	Providencia	stuartii
NC_016977	Acinetobacter	baumannii
NC_016979	Klebsiella	pneumoniae
NC_016980	Klebsiella	pneumoniae
NC_016976	Klebsiella	pneumoniae
NC_017213	Bacillus	thuringiensis
NC_017197	Bacillus	thuringiensis
NC_017489	Lactococcus	lactis
NC_017478	Lactococcus	lactis
NC_017772	Pseudonocardia	dioxanivorans
NC_005705	Acidipropionibacterium	jensenii
NC_002799	Lactococcus	lactis
NC_003101	Lactococcus	lactis
NC_004058	Haemophilus	influenzae
NC_004772	Pasteurella	multocida
NC_003201	Oenococcus	oeni
NC_004769	Bifidobacterium	longum
NC_004770	Bifidobacterium	longum
NC_008444	Escherichia	coli
NC_008436	Lactococcus	lactis
NC_008445	Enterococcus	faecalis
NC_010290	Enterococcus	faecium
NC_010291	Enterococcus	faecium
NC_002798	Lactococcus	lactis
NC_002150	Lactococcus	lactis
NC_005017	Yersinia	enterocolitica
NC_005088	Delftia	acidovorans
NC_013506	Acinetobacter	baumannii
NC_016042	Lactococcus	lactis
NC_016967	Enterococcus	faecium
NC_017908	Mycobacterium	abscessus
NC_010257	Escherichia	coli
NC_005054	Staphylococcus	aureus
NC_001995	Staphylococcus	aureus
NC_005127	Staphylococcus	aureus
NC_005908	Staphylococcus	aureus
NC_013514	Enterococcus	faecalis
NC_002138	Lactococcus	lactis
NC_017498	Lactococcus	lactis
NC_017500	Lactococcus	lactis
NC_013551	Lactococcus	lactis
NC_010281	Bacillus	thuringiensis
NC_010895	Bacillus	thuringiensis
NC_004443	Bifidobacterium	longum
NC_010112	Vibrio	sp.
NC_002108	Bacillus	thuringiensis
NC_016601	Pseudonocardia	dioxanivorans
NC_001372	Chlamydia	trachomatis
NC_009444	Pseudomonas	fluorescens
NC_013128	Borrelia	burgdorferi
NC_013319	Staphylococcus	aureus
NC_013320	Staphylococcus	aureus
NC_013289	Staphylococcus	aureus
NC_013372	Staphylococcus	epidermidis
NC_013387	Staphylococcus	sp.
NC_018952	Staphylococcus	aureus
NC_013338	Staphylococcus	aureus
NC_013339	Staphylococcus	aureus
NC_013309	Staphylococcus	aureus
NC_013311	Staphylococcus	aureus
